# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr  2 23:44:22 2023
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN fpwg_koi_period: KOI Transit Period [days]
# COLUMN fpwg_disp_status: High Level Disposition
# COLUMN fpwg_disp_source: Target Is Source High Level Flag
# COLUMN fpwg_disp_eb:   Eclipsing Binary High Level Flag
# COLUMN fpwg_disp_offst: Offset High Level Flag
# COLUMN fpwg_disp_perep: Period Epoch Match High Level Flag
# COLUMN fpwg_disp_other: Other False Positive High Level Flag
#
kepid,kepoi_name,fpwg_koi_period,fpwg_disp_status,fpwg_disp_source,fpwg_disp_eb,fpwg_disp_offst,fpwg_disp_perep,fpwg_disp_other
757450,K00889.01,8.88,NOT EXAMINED,,,,,
892772,K01009.01,5.09,CERTIFIED FP,0,0,1,0,0
1025986,K07621.01,275.07,POSSIBLE PLANET,1,0,0,0,0
1026032,K06252.01,8.46,CERTIFIED FP,1,1,0,0,0
1026957,K00958.01,21.76,POSSIBLE PLANET,1,0,0,0,0
1027438,K01010.01,110.62,NOT EXAMINED,,,,,
1161345,K00984.01,4.29,NOT EXAMINED,,,,,
1161949,K04920.01,473.95,CERTIFIED FA,1,0,0,0,0
1164301,K04921.01,95.69,POSSIBLE PLANET,1,0,0,0,0
1293031,K04162.01,0.54,CERTIFIED FA,1,0,0,0,0
1293046,K07622.01,36.27,CERTIFIED FP,0,0,1,0,0
1293379,K06253.01,27.56,NOT EXAMINED,,,,,
1297263,K04922.01,153.52,NOT EXAMINED,,,,,
1429589,K04923.01,38.17,NOT EXAMINED,,,,,
1430305,K04873.01,359.33,NOT EXAMINED,,,,,
1431122,K00994.01,4.30,NOT EXAMINED,,,,,
1432214,K00998.01,161.79,CERTIFIED FP,1,1,0,0,0
1432789,K00992.01,9.93,NOT EXAMINED,,,,,
1432789,K00992.02,4.58,NOT EXAMINED,,,,,
1433531,K06254.01,567.71,NOT EXAMINED,,,,,
1433962,K00982.01,1.59,CERTIFIED FP,0,1,1,0,0
1433980,K03924.01,1.59,CERTIFIED FP,1,1,0,0,0
1434395,K07623.01,2.22,CERTIFIED FP,0,0,1,0,0
1571511,K00362.01,14.02,CERTIFIED FP,1,1,0,0,0
1572948,K04924.01,3.00,CERTIFIED FP,0,0,1,0,0
1575690,K03658.01,2.25,CERTIFIED FP,1,1,0,0,0
1575873,K04359.01,0.63,CERTIFIED FP,0,0,1,0,0
1717528,K06255.01,9.31,NOT EXAMINED,,,,,
1717722,K03145.02,0.98,NOT EXAMINED,,,,,
1717722,K03145.01,4.54,NOT EXAMINED,,,,,
1718189,K00993.01,21.85,NOT EXAMINED,,,,,
